phase,query_type,actor,emotion,bucket,approach,elapsed_seconds,n_files
write,write,,,video_large,polyglot,0.047283,1
write,write,,,video_large,pure_mongo,0.041456,1
write,write,,,video_large,polyglot,0.053777,1
write,write,,,video_large,pure_mongo,0.079827,1
write,write,,,video_large,polyglot,0.057234,1
write,write,,,video_large,pure_mongo,0.045379,1
write,write,,,video_large,polyglot,0.052813,1
write,write,,,video_large,pure_mongo,0.054712,1
write,write,,,video_large,polyglot,0.058517,1
write,write,,,video_large,pure_mongo,0.052419,1
write,write,,,video_large,polyglot,0.051196,1
write,write,,,video_large,pure_mongo,0.051897,1
write,write,,,video_large,polyglot,0.054152,1
write,write,,,video_large,pure_mongo,0.084199,1
write,write,,,audio_small,polyglot,0.010265,1
write,write,,,audio_small,pure_mongo,0.004652,1
write,write,,,audio_small,polyglot,0.004697,1
write,write,,,audio_small,pure_mongo,0.004096,1
write,write,,,audio_small,polyglot,0.004918,1
write,write,,,audio_small,pure_mongo,0.004052,1
write,write,,,audio_small,polyglot,0.006640,1
write,write,,,audio_small,pure_mongo,0.005457,1
write,write,,,audio_small,polyglot,0.005314,1
write,write,,,audio_small,pure_mongo,0.004716,1
write,write,,,audio_small,polyglot,0.009057,1
write,write,,,audio_small,pure_mongo,0.007650,1
write,write,,,audio_small,polyglot,0.005552,1
write,write,,,audio_small,pure_mongo,0.004712,1
write,write,,,audio_small,polyglot,0.005389,1
write,write,,,audio_small,pure_mongo,0.003917,1
write,write,,,audio_small,polyglot,0.005988,1
write,write,,,audio_small,pure_mongo,0.004637,1
write,write,,,audio_small,polyglot,0.331360,1
write,write,,,audio_small,pure_mongo,0.015486,1
write,write,,,video_medium,polyglot,0.019124,1
write,write,,,video_medium,pure_mongo,0.020750,1
write,write,,,video_medium,polyglot,0.014301,1
write,write,,,video_medium,pure_mongo,0.012106,1
write,write,,,video_medium,polyglot,0.011793,1
write,write,,,video_medium,pure_mongo,0.011469,1
write,write,,,video_medium,polyglot,0.012011,1
write,write,,,video_medium,pure_mongo,0.016023,1
write,write,,,video_medium,polyglot,0.014928,1
write,write,,,video_medium,pure_mongo,0.017386,1
write,write,,,video_medium,polyglot,0.014360,1
write,write,,,video_medium,pure_mongo,0.019627,1
write,write,,,video_medium,polyglot,0.014926,1
